92,67,36,70,2520,0.514286,1602,78.7147
125,61,4,6,24,0.666667,14,7.2111
117,140,4,4,16,1,8,5.65685
118,134,3,3,9,1,4,4.24264
115,129,3,3,9,1,4,4.24264
88,67,39,72,2808,0.541667,1641.5,81.8841
124,56,5,11,55,0.454545,33.5,12.083
118,45,3,3,9,1,4,4.24264
89,68,38,76,2888,0.5,1792.5,84.9706
123,62,5,6,30,0.833333,18,7.81025
125,56,3,3,9,1,4,4.24264
118,138,3,3,9,1,4,4.24264
95,62,33,75,2475,0.44,1573,81.939
125,53,3,3,9,1,4,4.24264
117,137,4,7,28,0.571429,15.5,8.06226
95,62,33,78,2574,0.423077,1628.5,84.6936
95,62,33,83,2739,0.39759,1731.5,89.3197
124,52,3,4,12,0.75,6,5
96,62,32,81,2592,0.395062,1708.5,87.0919
95,147,11,4,44,2.75,26.5,11.7047
98,138,3,3,9,1,4,4.24264
96,62,32,79,2528,0.405063,1722,85.235
89,143,3,3,9,1,4,4.24264
94,139,14,13,182,1.07692,106.5,19.105
97,138,4,6,24,0.666667,12.5,7.2111
97,61,32,79,2528,0.405063,1657.5,85.235
124,51,3,3,9,1,4,4.24264
118,141,3,3,9,1,4,4.24264
85,57,44,97,4268,0.453608,2421,106.513
123,51,4,3,12,1.33333,6,5
93,142,7,4,28,1.75,16,8.06226
78,60,52,96,4992,0.541667,2691.5,109.179
123,50,4,5,20,0.8,10.5,6.40312
79,50,51,107,5457,0.476636,2623,118.533
118,43,3,5,15,0.6,8,5.83095
77,49,54,110,5940,0.490909,2787.5,122.54
78,48,53,112,5936,0.473214,2778,123.907
99,111,7,31,217,0.225806,120.5,31.7805
79,47,52,114,5928,0.45614,2768,125.3
99,127,5,15,75,0.333333,46.5,15.8114
80,123,37,40,1480,0.925,753.5,54.4885
100,112,4,9,36,0.444444,20,9.84886
103,53,29,66,1914,0.439394,1207.5,72.0902
122,47,3,3,9,1,4,4.24264
79,127,38,36,1368,1.05556,866.5,52.345
123,100,5,3,15,1.66667,8,5.83095
103,52,29,64,1856,0.453125,1150.5,70.2638
122,46,3,3,9,1,4,4.24264
81,138,32,25,800,1.28,472.5,40.6079
101,134,3,7,21,0.428571,12,7.61577
104,56,28,59,1652,0.474576,1055.5,65.307
83,139,30,25,750,1.2,422.5,39.0512
101,134,3,7,21,0.428571,12,7.61577
104,109,3,3,9,1,4,4.24264
110,99,11,15,165,0.733333,108,18.6011
105,83,14,18,252,0.777778,148,22.8035
116,68,16,28,448,0.571429,259.5,32.249
120,56,4,6,24,0.666667,14,7.2111
87,138,27,26,702,1.03846,391,37.4833
101,134,3,6,18,0.5,10,6.7082
108,131,5,3,15,1.66667,8,5.83095
100,99,21,22,462,0.954545,254.5,30.4138
108,84,8,11,88,0.727273,50,13.6015
113,76,6,5,30,1.2,14,7.81025
126,74,7,23,161,0.304348,88,24.0416
119,66,7,12,84,0.583333,53.5,13.8924
120,56,4,6,24,0.666667,14.5,7.2111
94,152,4,3,12,1.33333,6,5
102,139,13,24,312,0.541667,190,27.2947
107,121,12,14,168,0.857143,79.5,18.4391
100,111,6,20,120,0.3,72.5,20.8806
125,102,4,8,32,0.5,16.5,8.94427
107,101,13,17,221,0.764706,161.5,21.4009
126,76,7,21,147,0.333333,73.5,22.1359
120,65,6,9,54,0.666667,33.5,10.8167
119,57,5,4,20,1.25,12,6.40312
98,140,18,23,414,0.782609,257.5,29.2062
105,98,6,7,42,0.857143,19.5,9.21954
100,80,33,57,1881,0.578947,973.5,65.8635
119,56,7,18,126,0.388889,68.5,19.3132
92,146,24,17,408,1.41176,271.5,29.4109
99,91,32,46,1472,0.695652,996.5,56.0357
129,85,3,3,9,1,4,4.24264
119,56,5,16,80,0.3125,47.5,16.7631
91,142,25,21,525,1.19048,318,32.6497
107,86,3,3,9,1,4,4.24264
98,83,31,56,1736,0.553571,1088.5,64.0078
118,46,7,15,105,0.466667,61.5,16.5529
88,76,41,86,3526,0.476744,2137.5,95.2733
124,71,9,12,108,0.75,44.5,15
119,42,6,19,114,0.315789,74,19.9249
86,42,47,121,5687,0.38843,2887,129.808
88,57,45,105,4725,0.428571,2617,114.237
121,43,5,11,55,0.454545,35,12.083
84,43,48,118,5664,0.40678,2880.5,127.389
90,143,7,7,49,1,30.5,9.89949
81,42,51,118,6018,0.432203,2920,128.55
76,43,56,115,6440,0.486957,3103,127.91
79,43,52,113,5876,0.460177,3048.5,124.391
113,127,3,10,30,0.3,18,10.4403
76,43,55,112,6160,0.491071,3003.5,124.776
86,147,19,6,114,3.16667,76.5,19.9249
75,44,55,101,5555,0.544554,2742,115.004
92,147,10,5,50,2,32,11.1803
119,140,3,3,9,1,4,4.24264
113,61,3,3,9,1,4,4.24264
73,44,58,99,5742,0.585859,2811.5,114.739
95,147,4,3,12,1.33333,6,5
119,140,3,3,9,1,4,4.24264
112,61,3,3,9,1,4,4.24264
74,44,58,98,5684,0.591837,2872,113.877
79,136,8,4,32,2,19,8.94427
119,133,4,10,40,0.4,22,10.7703
91,45,41,97,3977,0.42268,2444.5,105.309
112,61,3,3,9,1,4,4.24264
90,45,43,99,4257,0.434343,2661.5,107.935
88,46,46,99,4554,0.464646,2783,109.165
86,46,48,99,4752,0.484848,2886.5,110.023
85,47,50,101,5050,0.49505,3066.5,112.699
84,47,51,103,5253,0.495146,3174,114.935
82,60,46,89,4094,0.516854,2750.5,100.185
116,54,7,4,28,1.75,14,8.06226
127,50,8,8,64,1,44,11.3137
131,23,3,5,15,0.6,8,5.83095
81,70,41,79,3239,0.518987,2391,89.0056
123,65,5,11,55,0.454545,30,12.083
132,53,3,4,12,0.75,6,5
130,25,3,4,12,0.75,6,5
105,146,5,4,20,1.25,11.5,6.40312
80,67,47,84,3948,0.559524,2790.5,96.2549
126,60,3,6,18,0.5,10,6.7082
125,47,3,3,9,1,4,4.24264
129,26,3,3,9,1,4,4.24264
95,146,3,3,9,1,4,4.24264
102,145,7,5,35,1.4,22.5,8.60233
79,70,46,81,3726,0.567901,2712,93.1504
125,47,4,4,16,1,8.5,5.65685
128,23,3,7,21,0.428571,12,7.61577
98,137,3,3,9,1,4,4.24264
78,42,57,109,6213,0.522936,3866,123.004
126,24,4,6,24,0.666667,14.5,7.2111
78,44,57,107,6099,0.53271,3920,121.235
125,24,4,6,24,0.666667,13,7.2111
77,42,58,109,6322,0.53211,3904,123.471
117,42,3,3,9,1,4,4.24264
125,27,3,3,9,1,4,4.24264
76,43,58,107,6206,0.542056,3925.5,121.709
122,98,3,4,12,0.75,6,5
75,42,59,107,6313,0.551402,4033.5,122.188
122,99,3,3,9,1,4,4.24264
116,96,3,6,18,0.5,10,6.7082
75,44,58,103,5974,0.563107,3947,118.207
121,100,3,3,9,1,4,4.24264
111,58,3,3,9,1,4,4.24264
71,44,62,101,6262,0.613861,4004.5,118.512
68,68,44,76,3344,0.578947,2771,87.818
112,42,20,42,840,0.47619,484.5,46.5188
63,119,29,23,667,1.26087,429.5,37.0135
74,42,57,100,5700,0.57,3209.5,115.104
60,120,32,20,640,1.6,434,37.7359
116,98,8,5,40,1.6,23,9.43398
73,42,57,98,5586,0.581633,3003.5,113.371
57,118,35,20,700,1.75,489,40.3113
119,105,4,4,16,1,8.5,5.65685
115,99,3,5,15,0.6,8,5.83095
121,98,3,4,12,0.75,6,5
72,42,57,93,5301,0.612903,2875.5,109.078
56,116,34,19,646,1.78947,474.5,38.9487
117,98,6,12,72,0.5,42,13.4164
72,41,56,84,4704,0.666667,2590.5,100.955
89,134,3,3,9,1,4,4.24264
94,122,6,16,96,0.375,43.5,17.088
114,95,10,15,150,0.666667,107.5,18.0278
56,41,70,92,6440,0.76087,3314.5,115.603
71,126,18,5,90,3.6,66.5,18.6815
112,94,11,21,231,0.52381,155.5,23.7065
57,40,70,84,5880,0.833333,2869.5,109.343
93,133,6,8,48,0.75,27.5,10
77,126,13,7,91,1.85714,50,14.7648
92,121,4,8,32,0.5,16.5,8.94427
102,110,3,3,9,1,4,4.24264
110,96,14,19,266,0.736842,178,23.6008
70,40,53,78,4134,0.679487,2452.5,94.3027
85,126,14,14,196,1,106,19.799
92,122,4,8,32,0.5,18.5,8.94427
61,118,5,3,15,1.66667,8,5.83095
106,95,18,21,378,0.857143,224.5,27.6586
70,40,53,77,4081,0.688312,2480.5,93.4773
115,30,3,3,9,1,4,4.24264
85,126,15,19,285,0.789474,137,24.2074
91,122,4,6,24,0.666667,13.5,7.2111
65,117,4,4,16,1,9,5.65685
70,40,54,77,4158,0.701299,3071.5,94.0479
114,25,4,8,32,0.5,16.5,8.94427
84,121,16,24,384,0.666667,190,28.8444
70,39,53,76,4028,0.697368,3046.5,92.6553
114,29,3,4,12,0.75,6,5
69,39,53,110,5830,0.481818,3901,122.102
113,30,3,3,9,1,4,4.24264
114,23,3,4,12,0.75,6,5
69,39,52,110,5720,0.472727,3983.5,121.672
113,23,3,10,30,0.3,18,10.4403
81,143,3,4,12,0.75,6,5
70,39,50,110,5500,0.454545,3954.5,120.83
112,30,3,3,9,1,4,4.24264
67,39,53,110,5830,0.481818,4113,122.102
66,39,53,110,5830,0.481818,4062.5,122.102
67,39,53,110,5830,0.481818,4188,122.102
62,38,56,110,6160,0.509091,4344,123.434
64,98,8,21,168,0.380952,83.5,22.4722
57,50,51,97,4947,0.525773,3440,109.59
101,38,17,41,697,0.414634,417,44.3847
87,111,3,3,9,1,4,4.24264
54,50,52,95,4940,0.547368,3356,108.301
100,37,17,44,748,0.386364,437.5,47.1699
39,141,6,4,24,1.5,13.5,7.2111
87,110,3,3,9,1,4,4.24264
48,49,55,96,5280,0.572917,3469,110.639
100,37,17,44,748,0.386364,442,47.1699
47,48,53,95,5035,0.557895,3260,108.784
100,38,16,43,688,0.372093,450,45.8803
37,136,6,5,30,1.2,16.5,7.81025
42,104,43,37,1591,1.16216,1024,56.7274
66,48,27,65,1755,0.415385,1318,70.3847
99,38,16,43,688,0.372093,445.5,45.8803
37,102,44,37,1628,1.18919,1093,57.4891
65,48,27,58,1566,0.465517,1207.5,63.9766
98,38,16,43,688,0.372093,471.5,45.8803
34,107,43,30,1290,1.43333,727,52.4309
55,97,12,26,312,0.461538,170,28.6356
64,47,28,58,1624,0.482759,1264,64.405
96,38,17,43,731,0.395349,498.5,46.2385
26,123,48,12,576,4,374.5,49.4773
39,99,26,24,624,1.08333,335.5,35.3836
111,98,3,3,9,1,4,4.24264
63,47,28,72,2016,0.388889,1478,77.2528
95,38,17,43,731,0.395349,484.5,46.2385
28,128,4,3,12,1.33333,6,5
36,125,35,7,245,5,166.5,35.6931
105,96,8,6,48,1.33333,29,10
37,47,53,74,3922,0.716216,2303,91.022
93,36,18,45,810,0.4,522,48.4665
